step,time,pos_error,rot_error,ik_pos_error,ik_rot_error,target_x,target_y,target_z,ik_x,ik_y,ik_z,actual_x,actual_y,actual_z
10,0.7397012710571289,0.0011649693104332556,0.0143752189676766,2.478551616821471e-07,2.161385707818569e-06,0.16975323438444156,-0.00961356878023641,0.39354449302977784,0.16975308063343342,-0.00961374441106138,0.3935444096833803,0.16909107816481694,-0.010561777143897428,0.393404480408393
11,0.8069310188293457,0.0009621599312387548,0.00831448505885675,6.715277620893373e-08,9.144800029780295e-07,0.17296181445915648,-0.009792283971396924,0.39317303011077653,0.1729617657922471,-0.009792325162342554,0.39317305118999096,0.17223778962945835,-0.010370739992176923,0.3929143248512913
12,0.8744986057281494,0.0009549907640874876,0.006107498509101547,1.7624298494949182e-07,1.4034996328108601e-06,0.17612928510465053,-0.010114624691569212,0.3933041611564,0.1761291617131607,-0.010114528810905793,0.3933042426611751,0.1755533958107079,-0.010435555725096239,0.39261324715861595
13,0.9417064189910889,0.0007418529466854877,0.003912523289008659,4.32921332338058e-07,4.634311627779593e-06,0.17919033691016129,-0.01037797472583747,0.3933290057634662,0.1791901996418352,-0.010378356473027562,0.3933288546100028,0.1784773079620773,-0.01053663617781072,0.3934584741277794
14,1.0089261531829834,0.000661526967322352,0.004895056695296869,4.6736149649811313e-07,1.1889630661389397e-06,0.18249518609527868,-0.010481623446678672,0.39282962942607136,0.1824950933437725,-0.010481232217713054,0.3928293911744754,0.18200593539885318,-0.01090599906517091,0.3926948814428909
15,1.0761487483978271,0.0008885767664008649,0.00562177688679089,3.8184532640954883e-07,4.221707302805855e-06,0.18582014022175783,-0.010749557655916515,0.39275478707662703,0.1858200925585321,-0.010749882148145169,0.39275498262422676,0.18502905925618474,-0.011150455710851123,0.39269964793222845
16,1.143312931060791,0.0006850377465197597,0.0037853967619256882,4.769406341390992e-07,1.545873014669299e-06,0.188400622981394,-0.010968340490217582,0.3925713732749091,0.1884008429667986,-0.010968001551214397,0.3925711198994123,0.18802180424292309,-0.011391282255660806,0.3921881066045816
17,1.2105202674865723,0.0006951996490697385,0.0023087925951870286,1.3697450544824907e-07,1.0390667187589243e-06,0.19130300844747644,-0.011468815919733684,0.39233476633801745,0.1913030323997527,-0.011468950375380418,0.39233475585075533,0.19064714611847194,-0.011587884222923587,0.3921373583933066
18,1.2777557373046875,0.0009895042519284724,0.002769329161969595,8.08688852994738e-08,1.249722874629275e-07,0.19418905919773533,-0.01171228905029991,0.3918831296258423,0.19418907786705797,-0.011712242538848415,0.39188306615996266,0.19338029305131316,-0.011892725454919196,0.39242392412366384
19,1.3452906608581543,0.0008398210460639257,0.004793463540941254,3.9154155501664166e-07,4.1229191318174766e-06,0.1969898469374401,-0.012165543641277435,0.39134388568195116,0.19698974955748216,-0.012165894485649071,0.3913437417022304,0.19626076721531904,-0.012315941434729367,0.3917326306522448
20,1.4124689102172852,0.001177596214948307,0.0035655960320930087,3.746917437320481e-07,1.2204815386948763e-06,0.20017013071150788,-0.012252987901749236,0.3908821343155886,0.20017014959116786,-0.012253344248025898,0.3908820200580183,0.19902460541057065,-0.0125151052671813,0.3909582862499843
21,1.4796833992004395,0.00040546887040734383,0.00303904426570417,2.186603356366632e-07,2.6640297266334645e-06,0.2026764057718276,-0.012729073963176567,0.38995789007507475,0.2026762892168562,-0.01272912790224302,0.38995806704359776,0.20232014050935987,-0.01290540456675995,0.3898779677010602
