run,steps,xyz_end_mm,rot_2nd_diff_deg,rot_vel_deg_s,rot_vel_deg_s_lo,rot_vel_deg_s_hi,rot_accel_deg_s2,rot_accel_deg_s2_lo,rot_accel_deg_s2_hi,rot_jerk_deg_s3,rot_jerk_deg_s3_lo,rot_jerk_deg_s3_hi,xyz_vel_mm_s,xyz_vel_mm_s_lo,xyz_vel_mm_s_hi,xyz_accel_mm_s2,xyz_accel_mm_s2_lo,xyz_accel_mm_s2_hi,xyz_jerk_mm_s3,xyz_jerk_mm_s3_lo,xyz_jerk_mm_s3_hi,gt_rot_vel_deg_s,gt_rot_accel_deg_s2,gt_rot_jerk_deg_s3,gt_xyz_vel_mm_s,gt_xyz_accel_mm_s2,gt_xyz_jerk_mm_s3
act_umi_identity_rot6d_1459_0100000steps,100000,13.098,0.0430,5.917,5.568,6.283,28.01,26.17,29.82,1340.4,1249.4,1434.1,61.50,58.44,64.74,352.52,336.40,368.98,17637.84,16812.02,18506.29,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_0200000steps,200000,12.385,0.0322,5.955,5.632,6.296,22.71,21.39,24.03,968.8,906.3,1031.5,63.45,60.55,66.46,296.24,284.26,308.69,13476.80,12856.42,14141.45,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_0300000steps,300000,12.277,0.0330,5.972,5.674,6.278,22.50,21.24,23.76,892.3,837.3,947.6,61.94,59.42,64.54,268.86,259.09,278.78,11414.17,10930.79,11912.54,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_0400000steps,400000,12.256,0.0332,6.337,6.034,6.637,22.22,21.00,23.44,820.2,773.0,866.9,63.99,61.45,66.59,248.02,239.39,256.91,8920.66,8563.02,9292.73,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_0500000steps,500000,12.153,0.0320,5.892,5.618,6.161,19.95,18.94,20.93,617.0,582.7,651.3,58.72,56.23,61.28,226.89,218.33,235.66,7454.56,7138.94,7782.40,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_0600000steps,600000,12.405,0.0354,5.894,5.644,6.147,21.95,20.85,23.12,646.6,609.8,683.6,60.02,57.65,62.41,230.26,222.89,237.63,6754.49,6473.36,7038.04,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_0700000steps,700000,12.252,0.0364,5.919,5.669,6.170,21.88,20.85,22.96,670.4,635.6,707.4,60.59,58.22,62.99,227.06,218.99,235.58,6328.94,6088.13,6573.68,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_0800000steps,800000,12.135,0.0347,5.670,5.424,5.919,21.16,20.18,22.18,576.4,546.6,607.9,56.46,54.09,58.81,213.35,206.71,220.29,5531.26,5325.31,5738.17,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_0900000steps,900000,12.251,0.0376,5.833,5.572,6.091,21.19,20.14,22.22,508.5,482.2,536.3,60.17,57.71,62.67,214.29,207.26,221.73,4714.03,4560.20,4871.32,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_1000000steps,1000000,12.113,0.0398,5.917,5.662,6.163,22.39,21.30,23.50,599.4,569.7,629.8,60.18,57.68,62.75,225.91,218.55,233.67,5740.60,5521.85,5963.67,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_1100000steps,1100000,12.100,0.0417,5.921,5.672,6.161,24.13,23.01,25.26,603.6,574.2,634.9,58.78,56.56,61.05,224.71,218.09,231.74,5185.10,5015.05,5355.14,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_1200000steps,1200000,12.079,0.0422,5.844,5.590,6.088,23.95,22.79,25.12,601.4,571.9,632.1,56.70,54.35,59.05,224.62,217.68,231.80,5145.27,4948.87,5340.33,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_1300000steps,1300000,12.112,0.0435,5.826,5.581,6.068,25.11,23.87,26.34,623.4,591.4,655.3,57.06,54.81,59.32,232.88,225.37,240.47,5349.75,5152.81,5553.94,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_1400000steps,1400000,12.158,0.0468,6.065,5.819,6.308,26.20,24.98,27.41,658.1,623.0,693.9,59.17,56.93,61.41,240.76,233.44,248.38,5439.22,5238.59,5653.88,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_1500000steps,1500000,12.026,0.0449,5.808,5.571,6.045,25.41,24.20,26.62,616.5,586.3,647.0,56.07,53.97,58.21,227.07,220.58,233.60,4978.98,4801.78,5155.35,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_1600000steps,1600000,12.181,0.0493,5.992,5.753,6.228,26.57,25.26,27.88,636.3,600.6,674.5,59.34,57.10,61.58,239.88,232.64,247.32,4627.97,4458.44,4807.55,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_1700000steps,1700000,12.085,0.0518,6.176,5.915,6.439,28.82,27.31,30.39,729.4,693.0,766.9,58.35,55.99,60.72,245.45,237.86,253.03,5342.24,5156.75,5532.83,8.252,65.95,2793.0,73.45,627.72,29521.30
act_umi_identity_rot6d_1459_1800000steps,1800000,12.116,0.0512,6.121,5.864,6.373,28.07,26.65,29.53,742.0,708.4,777.3,59.24,56.97,61.57,247.21,240.17,254.34,5555.49,5350.08,5764.91,8.252,65.95,2793.0,73.45,627.72,29521.30
