idx,des_x,des_y,des_z,ach_x,ach_y,ach_z,exp_x,exp_y,exp_z,err_x,err_y,err_z,err_norm,q0_cmd_deg,q1_cmd_deg,q2_cmd_deg,q3_cmd_deg,q4_cmd_deg,q0_meas_deg,q1_meas_deg,q2_meas_deg,q3_meas_deg,q4_meas_deg
19,0.28338022456786277,0.0011386501300688786,0.25458537040826185,0.28777876491117726,0.001321627058768152,0.20615536577827945,0.28338022456786277,0.0011386501300688786,0.25458537040826185,0.004398540343314494,0.00018297692869927336,-0.0484300046299824,0.048629682151627496,-0.45106267221430263,-48.46346431215531,24.64794041665175,27.04896269871979,5.634612518945656,-0.4835164835164835,-46.417582417582416,31.34065934065934,29.934065934065934,5.582417582417582
20,0.28304759493864007,0.0019074490098233813,0.25515878464293046,0.28777644343021946,0.001703593099001433,0.20615536679186064,0.28304759493864007,0.0019074490098233813,0.25515878464293046,0.004728848491579396,-0.00020385591082194843,-0.04900341785106982,0.04923147901876642,-0.6318484647768501,-48.5866371521878,24.614188435707614,27.067521266096048,5.6287207233062935,-0.5714285714285714,-46.417582417582416,31.34065934065934,29.934065934065934,5.582417582417582
21,0.2826989386148899,0.002669113209327424,0.25570612370351986,0.28777644343021946,0.001703593099001433,0.20615536679186064,0.2826989386148899,0.002669113209327424,0.25570612370351986,0.005077504815329537,-0.0009655201103259913,-0.04955075691165922,0.04981958244256452,-0.8114940812981626,-48.71575578885597,24.586081724479218,27.093264630753904,5.6228308079699305,-0.5714285714285714,-46.417582417582416,31.34065934065934,29.934065934065934,5.582417582417582
22,0.28233440820997996,0.003423308672908596,0.2562264273071688,0.28778050031798125,0.0009396579061804589,0.20615536476469,0.28233440820997996,0.003423308672908596,0.2562264273071688,0.005446092108001288,-0.002483650766728137,-0.05007106254247881,0.050427569290148494,-0.9899476673020874,-48.8508791712834,24.563755241065532,27.126349777432605,5.616943676326189,-0.3956043956043956,-46.417582417582416,31.34065934065934,29.934065934065934,5.582417582417582
23,0.28195416330275064,0.004169704616517678,0.2567187825997074,0.2877822128941645,0.00017571386094444912,0.20615536273749588,0.28195416330275064,0.004169704616517678,0.2567187825997074,0.005828049591413864,-0.003993990755573228,-0.050563419862211495,0.05105465260245992,-1.1671570649616774,-48.9920635847261,24.547334695633598,27.16692847142919,5.611060276009787,-0.21978021978021978,-46.417582417582416,31.34065934065934,29.934065934065934,5.582417582417582
24,0.2815583703694663,0.004907973672948211,0.25718232575808136,0.28777644343021946,0.001703593099001433,0.20615536679186064,0.2815583703694663,0.004907973672948211,0.25718232575808136,0.006218073060753171,-0.0032043805739467787,-0.051026958966220726,0.0515042039914406,-1.343069802129202,-49.139362019745775,24.536936028755704,27.215146740500263,5.605181601669938,-0.5714285714285714,-46.417582417582416,31.34065934065934,29.934065934065934,5.582417582417582
25,0.28114720271266086,0.005637792035594898,0.25761624350677204,0.2877659626039744,0.002849463553204019,0.2061553698325309,0.28114720271266086,0.005637792035594898,0.25761624350677204,0.006618759891313553,-0.0027883284823908786,-0.051460873674241125,0.051959640852692356,-1.5176330815996582,-49.29282355506216,24.53266491478219,27.271144367351965,5.599308697730317,-0.8351648351648352,-46.417582417582416,31.34065934065934,29.934065934065934,5.582417582417582
26,0.2807208403868915,0.006358839600684878,0.2580197745455343,0.2877122287951037,0.0059047569524367715,0.20615537794002664,0.2807208403868915,0.006358839600684878,0.2580197745455343,0.006991388408212229,-0.00045408264824810685,-0.05186439660550768,0.052335469217150626,-1.6907937706236058,-49.45249275633766,24.534616289610856,27.335054398993375,5.593442661030065,-1.5384615384615385,-46.417582417582416,31.34065934065934,29.934065934065934,5.582417582417582
27,0.2802794701214288,0.007070800107915909,0.25839221088593395,0.2876712993174717,0.007432098770976609,0.2061553819929656,0.2802794701214288,0.007070800107915909,0.25839221088593395,0.0073918291960429205,0.0003612986630606996,-0.05223682889296835,0.05275846821488144,-1.8624983906943153,-49.618409095310085,24.542873907271197,27.40700267311154,5.587584643482949,-1.89010989010989,-46.417582417582416,31.34065934065934,29.934065934065934,5.582417582417582
28,0.2798232852399031,0.007773361279436201,0.2587328990943242,0.287659602331508,0.00781389272808528,0.2061553830060902,0.2798232852399031,0.007773361279436201,0.2587328990943242,0.007836317091604927,4.053144864907959e-05,-0.052577516088233966,0.05315829856538874,-2.0326931076253225,-49.79060639351635,24.557509929600652,27.487107361506855,5.581735854572836,-1.978021978021978,-46.417582417582416,31.34065934065934,29.934065934065934,5.582417582417582
